Wilayah;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aceh;69,45;70,00;70,60;71,19;71,90;71,99;72,18;72,80;74,70
Sumatera Utara;69,51;70,00;70,57;71,18;71,74;71,77;72,00;72,71;73,37
Sumatera Barat;69,98;70,73;71,24;71,73;72,39;72,38;72,65;73,26;73,75
Riau;70,84;71,20;71,79;72,44;73,00;72,71;72,94;73,52;74,04
Jambi;68,89;69,62;69,99;70,65;71,26;71,29;71,63;72,14;72,77
Sumatera Selatan;67,46;68,24;68,86;69,39;70,02;70,01;70,24;70,90;71,62
Bengkulu;68,59;69,33;69,95;70,64;71,21;71,40;71,64;72,16;72,78
Lampung;66,95;67,65;68,25;69,02;69,57;69,69;69,90;70,45;71,15
Kep. Bangka Belitung;69,05;69,55;69,99;70,67;71,30;71,47;71,69;72,24;72,85
Kep. Riau;73,75;73,99;74,45;74,84;75,48;75,59;75,79;76,46;77,11
