Wilayah;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aceh;852;848;873;839;819;814,91;834,24;806,82;806,75
Sumatera Utara;1464;1456;1458;1325;1282;1283,29;1343,86;1268,19;1239,71
Sumatera Barat;380;372;365;357;348;344;371;335,21;340,37
Riau;531;515;515;500;491;483;501;485,03;485,66
Jambi;301;290;287;282;274;278;294;279,37;280,68
Sumatera Selatan;1146;1101;1087;1068;1074;1082;1114;1044,69;1045,68
Bengkulu;334;329;317;302;302;303;306;297,23;288,46
Lampung;1163;1.170;1132;1097;1064;1049;1084;1002,41;970,67
Kep, Bangka Belitung;74;73;74;76;68;68;73;66,78;68,69
Kep, Riau;122;120;125;132;128;132;144;151,68;142,50
