Wilayah;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aceh;9,93;7,57;6,57;6,36;6,17;6,59;6,3;6,17;6,03
Sumatera Utara;6,71;5,84;5,6;5,56;5,39;6,91;6,33;6,16;5,89
Sumatera Barat;6,89;5,09;5,58;5,55;5,38;6,88;6,52;6,28;5,94
Riau;7,83;7,43;6,22;6,2;5,76;6,32;4,42;4,37;4,23
Jambi;4,34;4;3,87;3,86;4,06;5,13;5,09;4,59;4,53
Sumatera Selatan;6,07;4,31;4,39;4,23;4,53;5,51;4,98;4,63;4,11
Bengkulu;4,91;3,3;3,7;3,51;3,26;4,07;3,65;3,59;3,42
Lampung;5,14;4,62;4,33;4,06;4,03;4,67;4,69;4,52;4,23
Kep. Bangka Belitung;6,29;2,6;3,78;3,61;3,58;5,25;5,03;4,77;4,56
Kep. Riau;6,2;7,69;7,16;7,12;7,5;1,34;9,91;8,23;6,8
